dpt_tp,grpcode_tp,tpincno_bi,tgt,offset_tgt
90162,MSB1AQ04,1,58085.44,10.594330777
91685,NZA0,1,38635.7624,11.974006889
901EA,DZA2AC01,1,289.52,11.298728047
93920,DZA2AB06,1,71424.43,11.60113367
90787,BJG0AI00,1,518,11.327294895
923EA,FTA1BE04,1,413880.798,11.159608456
90984,TYB0AB04,1,46185.4932,11.224345427
90621,FTA2BM01,1,7020.14,11.126478084
90960,XDA1AD01,1,20248,11.228473203
91281,DZA1AV03,1,9322.43,11.740531401
90373,BMA0AE,1,32450,10.5727285
93284,ADA1AG01,1,15600,12.004081517
93286,JLA0AS01,1,208500.005,11.693960045
92790,JPA0BC,1,7932.5514,11.627428415
91182,BMA0,1,45270.134,11.722655309
90724,TYB0AA01,1,17734,10.895894617
93450,QYA0,1,331466.44809,11.709213948
91730,JLA0,1,15637.769,11.77651792
94022,MSB0,1,28101.37,11.374915727
901EA,BMA0,1,2794.608,9.9381303743
93282,DNA0AH,1,21800,11.83873868
91181,FTA0AF,1,103376,11.372695917
91830,QYA1AE,1,940,11.312085751
93453,BZA1AG01,1,19648.67,12.48581782
90786,ZTA0,1,155000.01,11.027004425
93285,SKA1AA01,1,4589.3,11.210296495
901EA,CAA0BB03,1,85480,11.180660369
90985,CCA2AJ01,1,1270,11.561280903
94321,JPA0BC,1,57184.78,11.823933434
90345,XDA1AM01,1,82571,11.163770902
93451,BJG0AD01,1,41840.5,11.299854262
93286,FTA0AF,1,41470,11.049312754
90786,CAA0BB01,1,1000000,10.662183105
93842,DZA1AT06,1,29235,11.382212616
904EA,BTA1AJ,1,47350,11.627774598
939EA,BMA0,1,17333.83,10.578682175
92316,DFC1IZ08,1,3892.8,11.166070518
94021,CAA0AQ01,1,7425.51,10.750138628
93454,TYB0,1,15413.9748,11.508020991
951EA,XLA0AB,1,19910.99,10.792218297
94022,XFA1AK03,1,5150,10.872675013
918EA,GQB1AG01,1,9223.59,11.592557456
91830,TYB0AC01,1,30038.82,11.69102184
90925,CCA2AJ01,1,27612,10.738878186
91199,TYQ0,1,26461.216,10.747459078
908EA,RCA1BS02,1,2465.785,11.720516622
904EA,TYB0AC06,1,1486.95,10.467041865
90783,FTA1BF01,1,118000,11.399063565
90951,BMA1AK03,1,4761.302,11.57585197
91192,TYB0AB04,1,10484.6,11.321664397
90349,CCA2AD03,1,17613.792,11.786162277
93381,TYB0AB02,1,19543.984,11.63563444
90343,CAA0BG01,1,45540.078,11.826906647
91199,FTA0,1,81874.45,10.810001162
93286,XTA1AF04,1,15902.71,11.58291295
91832,CCA0,1,73800,11.790541167
91839,DZA2AB05,1,1020,11.152227035
90349,others,1,2550,11.787552405
90723,FTA2BM01,1,14249.008,11.17698802
90984,CCA2AF01,1,14966.816711,11.879997186
923EA,MZA2AL01,1,14769.696,11.412803306
906EA,BJG0AD01,1,314663,11.211536967
90521,MSB0AJ,1,152472,10.421963617
91833,GQB1AG01,1,17045,11.440529993
91681,BTA1AL03,1,26898,11.572326424
91685,BMA0,1,13200,11.128851971
91199,MNA0MP,1,268149.99,10.797632154
93452,TYB0AA03,1,9375,9.8560638674
90347,DZA1AT02,1,30900,11.00971478
91772,DZA2AA05,1,12488.21,11.432176643
91199,FTA1BE04,1,232453,10.803676719
93451,DZA0,1,179559.28174,11.309524543
91860,FTA1AN,1,3207.9,11.041873451
91199,BMA0AE,1,108.11,10.881957955
90786,BTA2AD02,1,59179.01,12.057653391
90782,RCA1AK02,1,19847.5,11.432034216
93285,ADA0,1,2240,9.2745097294
91182,LHB0AE,1,18959,9.876295358
93281,CCA2AD03,1,101326.008,11.461097462
90948,BTA1AL04,1,9289.72,11.902142389
90782,FTB1AU03,1,113732.00332,11.57284415
905EA,CAA0CH,1,3669,10.970593619
90520,BMA0AI,1,71964,10.368004514
90531,DZA0,1,20834,10.959781983
91831,CCA2AD,1,421948.99924,11.7078099
90521,BJA0,1,31567.991,11.298802882
90520,HMB0AA03,1,9100,10.931429574
90724,FTB1AA03,1,16162.76,11.577087017
933EA,BKA1AC01,1,37090,11.821069682
943EA,BJG0AI00,1,48486.64,11.218505951
92181,BTA1AL03,1,55400.008,11.370221617
91181,DZA1AT03,1,2149,10.864611519
91687,JLA0AR01,1,10581.19,11.920715619
918EA,CAA0BF01,1,93585,11.403588094
91199,FTA0AF12,1,59336.18,11.08265655
90343,RWA0AC01,1,14400,10.979930515
90343,others,1,22300,11.49394214
90723,BKA1,1,30485,11.581392803
90521,JHA0,1,20899.8678,11.294893342
93286,BKA1AM02,1,1585.99,11.273377661
90988,DZA1AN04,1,3469.2,11.46031155
902EA,MSB0,1,14025,11.498341152
93282,HQA3AB01,1,2699.992,10.776287478
90345,MSB1AQ,1,42445.416,11.108549657
943EA,XDA1BB01,1,31180.63,11.249784537
91282,DFM0,1,76491.51,11.232988652
93453,XTA1AF04,1,11227,11.798014162
91682,BKA1AH02,1,771.608,11.366987832
91834,CCA2AD,1,158112.97955,12.159619161
90347,BMA0AI,1,3800,11.646754105
90947,SBB0,1,40759.812,11.656622808
903EA,CAA0BG01,1,5450,11.866316815
923EA,FTB1AA03,1,17923.13,11.697020227
91185,XLA0AB10,1,10700,10.865337259
